year,result,school,program,full_or_part,scholarship,nationality,UGPA,graduate_gpa,GRE_Q,GRE_V,GRE_AWA,TOEFL,submitted,days_to_result,updated
2025,Enrolled,New York University,MS in Mathematics in Finance,Full-Time,,🇨🇳,3.7,3.7,167,166,,,,71,10/3/25
2025,Accepted,Columbia University,MA in Mathematics of Finance,Full-Time,,🇨🇳,3.7,3.7,167,166,,,,97,10/3/25
2026,Enrolled,"University of California, Berkeley",Master of Financial Engineering,Full-Time,,🇩🇪,3.9,3.8,170,161,3.5,110,,62,9/30/25
2025,Enrolled,Carnegie Mellon University,MS in Computational Finance,Full-Time,,🇭🇰,3.7,,170,163,3,,,151,9/28/25
2026,Waitlisted,"University of California, Berkeley",Master of Financial Engineering,Full-Time,,🇹🇼,3.3,,170,168,4.5,120,,,9/26/25
2026,Enrolled,"University of California, Berkeley",Master of Financial Engineering,Full-Time,,🇨🇦,3.88,,,,,,,84,9/20/25
2026,Pending,New York University,MS in Mathematics in Finance,Full-Time,,🇺🇸,3.7,,167,158,,,,,9/18/25
2026,Pending,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,,🇺🇸,3.97,,170,158,5.0,,,,9/17/25
2026,Pending,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇺🇸,3.97,,170,158,5.0,,,,9/17/25
2026,Pending,Princeton University,Master in Finance,Full-Time,,🇺🇸,3.97,,170,158,5.0,,,,9/17/25
2026,Pending,Columbia University,Masters in Financial Engineering,Full-Time,,🇺🇸,3.97,,170,158,5.0,,,,9/17/25
2026,Enrolled,"University of California, Berkeley",Master of Financial Engineering,Full-Time,,🇨🇦,3.12,,170,162,4.5,,,56,9/7/25
2026,Accepted,"University of California, Berkeley",Master of Financial Engineering,Full-Time,,🇮🇳,3.8,3.8,169,154,5,105,,16,8/22/25
2026,Pending,Carnegie Mellon University,MS in Computational Finance,Full-Time,,🇺🇸,3.77,,169,160,4.5,,,,8/14/25
2026,Waitlisted,"University of California, Berkeley",Master of Financial Engineering,Full-Time,,🇨🇳,3.5,3.5,170,155,4,106,,,8/6/25
2026,Waitlisted,"University of California, Berkeley",Master of Financial Engineering,Full-Time,,🇮🇳,3.84,,170,167,4.5,,,,8/6/25
2026,Waitlisted,"University of California, Berkeley",Master of Financial Engineering,Full-Time,,🇨🇳,3.87,3.87,168,158,3.5,106,,,8/5/25
2025,Enrolled,Columbia University,Masters in Financial Engineering,Full-Time,,🇺🇸,3.82,,,,,,,61,7/28/25
2025,Accepted,Columbia University,Masters in Financial Engineering,Full-Time,,🇨🇦,2.6,,,,,,,180,7/27/25
2026,Enrolled,WorldQuant University,MSc in Financial Engineering,Full-Time,,🇳🇬,3.63,,,,,,,3,7/27/25
2025,Enrolled,Stanford University,Mathematical and Computational Finance,Full-Time,"$200,000",🇿🇼,4,,,,,,,110,7/26/25
2026,Pending,Carnegie Mellon University,MS in Computational Finance,Full-Time,,🇮🇳,3.4,,130,,,,,,7/26/25
