year,result,school,program,full_or_part,scholarship,nationality,UGPA,graduate_gpa,GRE_Q,GRE_V,GRE_AWA,TOEFL,submitted,days_to_result,updated
2025,Accepted,Cornell University,Master in Financial Engineering,Full-Time,,🇸🇬,3.33,,170,156,3.5,,,74,2/16/25
2025,Accepted,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,"$4,000",🇮🇳,4,,170,161,3.5,,,10,2/16/25
2025,Waitlisted,Imperial College London,MSc Mathematics and Finance,Full-Time,,,4,,,,,,,,2/15/25
2025,Accepted,Birkbeck College,,Full-Time,$1,🇮🇩,3.58,,,,,,,32,2/15/25
2025,Rejected,Imperial College London,MSc Mathematics and Finance,Full-Time,,🇮🇩,3.58,,,,,,,35,2/15/25
2026,Accepted,"University of California, Berkeley",Master of Financial Engineering,Full-Time,,🇮🇳,3.81,,170,161,4.5,,,29,2/15/25
2025,Accepted,University of Chicago,Master in Finance,Full-Time,,🇮🇳,3.9,,,,,,,36,2/15/25
2025,Accepted,North Carolina State University,Master in Financial Mathematics,Full-Time,,🇮🇳,4.0,,,,,,,38,2/14/25
2025,Accepted,Cornell University,Master in Financial Engineering,Full-Time,,🇨🇳,3.7,,170,155,,,,74,2/14/25
2025,Enrolled,University of Waterloo,Master of Quantitative Finance,Full-Time,,🇨🇦,3.8,,,,,,,57,2/13/25
2025,Accepted,University of Washington,MS Computational Finance & Risk Management,Full-Time,,🇻🇳,3.89,,170,166,5,,,17,2/13/25
2025,Accepted,University of Washington,MS Computational Finance & Risk Management,Full-Time,,🇺🇸,3.75,,,,,,,30,2/13/25
2025,Accepted,Imperial College London,MSc Mathematics and Finance,Full-Time,,🇮🇹,3.96,,,,,,,29,2/13/25
2025,Accepted,Cornell University,Master in Financial Engineering,Full-Time,"$40,000",🇺🇸,3.99,,165,163,5.0,,,72,2/13/25
2025,Accepted,University of Washington,MS Computational Finance & Risk Management,Full-Time,,🇰🇷,4.0,,170,163,5.0,,,13,2/13/25
2025,Accepted,University of Southern California,MS in Financial Engineering,Full-Time,,🇰🇷,4.0,,170,163,5.0,,,20,2/13/25
2025,Accepted,Cornell University,Master in Financial Engineering,Full-Time,,🇬🇧,3.9,3.9,168,168,5.5,,,74,2/13/25
2025,Enrolled,Cornell University,Master in Financial Engineering,Full-Time,,🇰🇷,4.0,,170,163,5.0,,,74,2/13/25
2025,Accepted,Cornell University,Master in Financial Engineering,Full-Time,"$10,000",🇮🇳,3.79,,170,165,4.5,,,87,2/13/25
2025,Accepted,Imperial College London,MSc Mathematics and Finance,Full-Time,,🇺🇸,3.88,,,,,,,28,2/13/25
2025,Enrolled,Columbia University,Masters in Financial Engineering,Full-Time,,🇬🇷,3.8,,,,,,,28,2/13/25
2025,Accepted,Cornell University,Master in Financial Engineering,Full-Time,,🇺🇸,3.88,,170,157,5,,,74,2/13/25
2025,Accepted,Cornell University,Master in Financial Engineering,Full-Time,,🇺🇸,3.88,,165,160,5,,,74,2/13/25
2025,Enrolled,Columbia University,Masters in Financial Engineering,Full-Time,,🇮🇹,3.64,4,,,,,,63,2/12/25
2025,Accepted,"University of California, Los Angeles",Master of Financial Engineering,Full-Time,"$15,000",🇮🇳,4,,170,161,3.5,,,44,2/12/25
2025,Pending,Columbia University,Masters in Financial Engineering,Full-Time,,🇮🇹,3.8,,,,,,,,2/12/25
2025,Pending,Columbia University,MA in Mathematics of Finance,Full-Time,,🇮🇹,3.8,,,,,,,,2/12/25
2025,Pending,Baruch College,Master in Financial Engineering,Full-Time,,🇨🇳,3.7,,170,155,,,,,2/12/25
2025,Accepted,University College London,MSc Computational Finance,Full-Time,,🇮🇹,3.8,,,,,,,29,2/12/25
2025,Accepted,Kings College's London,MSc Computational Finance,Full-Time,,🇰🇷,3.6,3.6,,,,,,52,2/12/25
2025,Enrolled,Imperial College London,MSc Mathematics and Finance,Full-Time,,🇰🇷,3.6,3.6,,,,,,82,2/12/25
2025,Pending,Imperial College London,MSc Mathematics and Finance,Full-Time,,🇮🇹,4.0,,,,,,,,2/12/25
2025,Accepted,Columbia University,MA in Mathematics of Finance,Full-Time,,🇰🇷,3.4,,170,159,3.5,,,23,2/11/25
2025,Rejected,Columbia University,Masters in Financial Engineering,Full-Time,,🇮🇳,3.55,,,,,,,121,2/11/25
2025,Accepted,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,,🇮🇳,3.55,,,,,,,24,2/11/25
2025,Pending,Baruch College,Master in Financial Engineering,Full-Time,,🇨🇳,2.87,,170,166,4.5,,,,2/11/25
2025,Pending,Baruch College,Master in Financial Engineering,Full-Time,,🇨🇳,3.86,,,,,,,,2/10/25
2025,Pending,Baruch College,Master in Financial Engineering,Full-Time,,🇮🇳,3.817,,,,,,,,2/10/25
2025,Rejected,Baruch College,Master in Financial Engineering,Full-Time,,🇮🇳,,,151,152,,,,,2/10/25
2025,Accepted,Georgia Institute of Technology,MS in Quantitative and Computational Finance,Full-Time,,🇨🇳,3.0,3.75,,,,,,37,2/10/25
2025,Accepted,Stevens Institute of Technology,MS in Financial Engineering,Full-Time,"$16,000",,3.3,3.3,162,156,4.5,,,17,2/10/25
2025,Pending,Baruch College,Master in Financial Engineering,Full-Time,,,3.77,3.77,,,,,,,2/10/25
2025,Pending,Baruch College,Master in Financial Engineering,Full-Time,,🇮🇳,3.71,,,,,,,,2/10/25
2025,Accepted,North Carolina State University,Master in Financial Mathematics,Full-Time,,🇮🇳,3.27,,170,158,,,,42,2/10/25
2025,Rejected,Imperial College London,MSc Mathematics and Finance,Full-Time,,🇺🇸,3.85,3.85,,,,,,44,2/10/25
2025,Rejected,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇺🇸,3.99,,165,163,5.0,,,21,2/9/25
2025,Rejected,Princeton University,Master in Finance,Full-Time,,🇨🇳,3.87,,170,166,4,,,21,2/9/25
2025,Rejected,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,,🇨🇳,3.85,,170,161,3.5,110,,69,2/8/25
2025,Accepted,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,"$4,000",,3.84,,169,164,4.0,,,70,2/8/25
2025,Pending,Columbia University,Masters in Financial Engineering,Full-Time,,🇬🇧,,,,,,,,,2/8/25
2025,Enrolled,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,"$3,000",🇮🇳,3.76,4.0,,,,,,8,2/7/25
2025,Rejected,University of Chicago,Master in Finance,Full-Time,,🇬🇷,3.22,,168,151,,,,29,2/7/25
2025,Accepted,University of Connecticut,Mathematics,Full-Time,,🇵🇰,3.20,,159,153,4.0,,,59,2/6/25
2025,Accepted,Stevens Institute of Technology,MS in Financial Engineering,Full-Time,"$12,000",🇮🇳,3.32,,170,161,4,,,17,2/6/25
2025,Accepted,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,"$3,000",🇮🇳,3.32,,170,161,4,,,67,2/6/25
2025,Rejected,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇺🇸,3.96,3.96,170,163,,,,24,2/6/25
2025,Pending,Yale University,Master in Asset Management,Full-Time,,🇮🇳,3.65,,170,154,3.5,,,,2/6/25
2025,Accepted,Fordham University,MS in Quantitative Finance,Full-Time,"$30,000",🇮🇳,3.28,,,,,,,22,2/6/25
2025,Rejected,University of Waterloo,Master of Quantitative Finance,Full-Time,,🇨🇭,4.0,,167,159,4.0,,,59,2/5/25
2025,Rejected,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇺🇸,3.1,,165,170,5,,,24,2/5/25
2025,Pending,Baruch College,Master in Financial Engineering,Part-Time,,🇺🇸,3.7,,,,,,,,2/5/25
2025,Accepted,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,"$4,000",🇮🇳,3.8,3.8,164,152,3,,,67,2/5/25
2025,Rejected,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,,🇮🇳,3.27,,170,158,,,,67,2/5/25
2025,Accepted,North Carolina State University,Master in Financial Mathematics,Full-Time,,🇮🇹,3.64,4,,,,,,45,2/5/25
2025,Pending,Baruch College,Master in Financial Engineering,Full-Time,,🇮🇹,3.64,4,,,,,,,2/4/25
2025,Enrolled,Columbia University,Masters in Financial Engineering,Full-Time,,🇺🇸,3.71,,,,,,,19,2/3/25
2025,Pending,"University of California, Los Angeles",Master of Financial Engineering,Full-Time,,🇮🇳,3.17,,170,156,,,,,2/3/25
2025,Pending,Georgia Institute of Technology,MS in Quantitative and Computational Finance,Full-Time,,🇮🇳,3.17,,170,156,,,,,2/3/25
2025,Accepted,North Carolina State University,Master in Financial Mathematics,Full-Time,,🇮🇳,3.17,,170,156,,,,29,2/3/25
2025,Accepted,North Carolina State University,Master in Financial Mathematics,Full-Time,,🇺🇸,3.413,,168,156,4.5,,,3,2/3/25
2025,Accepted,"University of California, Los Angeles",Master of Financial Engineering,Full-Time,,🇮🇳,3.79,,170,165,4.5,,,48,2/2/25
2025,Rejected,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇮🇳,3.28,,170,154,4.5,,,27,2/2/25
2025,Accepted,Baruch College,Master in Financial Engineering,Full-Time,,🇺🇸,3.85,,,,,,,48,2/1/25
2025,Pending,NUS,MSc in Quantitative Finance,Full-Time,,,,,160,151,4.0,,,,2/1/25
2025,Rejected,Carnegie Mellon University,MS in Computational Finance,Full-Time,,🇨🇳,3.57,,153,170,2,,,94,2/1/25
2025,Rejected,Baruch College,Master in Financial Engineering,Full-Time,,🇨🇳,3.57,,153,170,2,,,53,2/1/25
2025,Accepted,Rutgers University,Master of Quantitative Finance,Full-Time,"$10,000",🇮🇳,3.5,3.5,167,163,4.5,,,6,1/31/25
2025,Pending,Columbia University,Masters in Financial Engineering,Full-Time,,🇩🇪,3.5,,170,157,,,,,1/31/25
2025,Accepted,Fordham University,MS in Quantitative Finance,Full-Time,"$30,000",🇺🇸,3.06,,170,159,5,,,27,1/31/25
2025,Accepted,Fordham University,MS in Quantitative Finance,Full-Time,"$30,000",🇮🇳,3.5,,166,153,3.5,,,28,1/30/25
2025,Accepted,Claremont Graduate University,MS in Financial Engineering,Full-Time,"$12,000",🇮🇳,3.76,4.0,,,,,,21,1/29/25
2025,Pending,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇨🇳,3.96,,160,170,4,,,,1/29/25
2025,Pending,Baruch College,Master in Financial Engineering,Full-Time,,🇨🇳,3.96,,160,170,4,,,,1/29/25
2025,Pending,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,,🇨🇳,3.96,,170,158,4,,,,1/28/25
2025,Pending,Baruch College,Master in Financial Engineering,Full-Time,,🇨🇳,3.96,,170,158,4,,,,1/28/25
2025,Accepted,Claremont Graduate University,MS in Financial Engineering,Full-Time,"$12,000",🇵🇰,3.20,,159,153,4.0,,,52,1/27/25
2025,Accepted,"University of California, Los Angeles",Master of Financial Engineering,Full-Time,"$15,000",🇺🇸,3.88,,170,157,5,,,27,1/27/25
2025,Rejected,Baruch College,Master in Financial Engineering,Full-Time,,🇮🇳,3.76,4.0,,,,,,19,1/26/25
2025,Rejected,Columbia University,Masters in Financial Engineering,Full-Time,,🇮🇳,3.7,,170,161,5,,,132,1/25/25
2025,Rejected,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇮🇳,3.84,3.84,170,160,4.5,114,,23,1/25/25
2025,Rejected,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇬🇷,3.22,,168,151,,,,21,1/24/25
2025,Waitlisted,"University of California, Los Angeles",Master of Financial Engineering,Full-Time,,🇬🇷,3.8,,,,,,,,1/24/25
2025,Rejected,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,,4.0,,170,,,,,25,1/24/25
2025,Rejected,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇮🇳,3.5,,167,158,4.5,,,22,1/24/25
2025,Rejected,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇮🇷,3.4,,,,,,,27,1/24/25
2025,Rejected,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇮🇳,3.8,,168,146,,,,55,1/24/25
2025,Rejected,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇺🇸,3.4,,156,,,,,17,1/24/25
2025,Rejected,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇮🇳,3.6,,170,150,,,,22,1/24/25
2025,Rejected,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇮🇳,3.44,,170,157,4.5,113,,24,1/24/25
2025,Rejected,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇨🇳,,3.49,167,,,,,22,1/24/25
2025,Rejected,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,,🇺🇸,3.78,,,,,,,71,1/24/25
2025,Accepted,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,"$10,500",🇺🇸,3.85,3.85,,,,,,19,1/24/25
2025,Rejected,Columbia University,Masters in Financial Engineering,Full-Time,,🇮🇳,3.5,3.5,167,163,4.5,,,161,1/24/25
2025,Rejected,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇨🇭,4.0,,167,159,4.0,,,32,1/23/25
2025,Accepted,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,,🇮🇹,3.64,4,,,,,,55,1/23/25
2025,Rejected,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇮🇳,3.2,,170,158,3.5,,,22,1/23/25
2025,Rejected,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,,🇮🇳,3.1,,170,159,3,,,21,1/23/25
2025,Rejected,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇮🇳,3.64,,170,157,5.5,,,22,1/23/25
2025,Rejected,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇮🇳,3.27,,170,158,,,,21,1/23/25
2025,Rejected,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,,,,,,,,,21,1/23/25
2025,Rejected,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,,🇮🇳,3.51,,170,157,4,,,15,1/23/25
2025,Pending,Princeton University,Master in Finance,Full-Time,,🇮🇳,3.9,,,,,,,,1/23/25
2025,Accepted,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,"$3,000",🇹🇼,3.9,,170,151,3.5,104,,52,1/22/25
2025,Accepted,Lehigh University,MS in Financial Engineering,Full-Time,,🇬🇷,3.8,,,,,,,52,1/22/25
2025,Enrolled,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,,🇨🇱,3.2,3.7,,,,,,46,1/22/25
2025,Pending,University of Oxford,MSc Mathematical and Computational Finance,Full-Time,,🇩🇰,3.875,,,,,,,,1/20/25
2025,Pending,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇩🇰,3.875,,,,,,,,1/20/25
2025,Rejected,Georgia Institute of Technology,MS in Quantitative and Computational Finance,Full-Time,,🇮🇳,3.5,,166,153,3.5,,,17,1/20/25
2025,Accepted,University of Illinois Urbana Champaign,Master of Financial Engineering,Full-Time,,🇮🇳,3.5,,166,153,3.5,,,26,1/20/25
2025,Pending,Baruch College,Master in Financial Engineering,Full-Time,,🇮🇳,,,,,,,,,1/19/25
2025,Accepted,University of Illinois Urbana Champaign,Master of Financial Engineering,Full-Time,,🇺🇸,3.83,,,,,,,15,1/18/25
2025,Accepted,University of Illinois Urbana Champaign,Master of Financial Engineering,Full-Time,,🇨🇳,3.54,,167,170,4.0,,,18,1/18/25
2025,Accepted,University of Illinois Urbana Champaign,Master of Financial Engineering,Full-Time,,🇮🇷,3.4,,,,,,,21,1/17/25
2025,Accepted,Fordham University,MS in Quantitative Finance,Full-Time,"$30,000",🇺🇸,3.85,3.85,,,,,,19,1/17/25
2025,Accepted,Georgia Institute of Technology,MS in Quantitative and Computational Finance,Full-Time,,🇺🇸,3.88,,170,157,5,,,17,1/17/25
2025,Accepted,North Carolina State University,Master in Financial Mathematics,Full-Time,,🇺🇸,3.88,,165,160,5,,,18,1/17/25
2025,Rejected,Columbia University,Masters in Financial Engineering,Full-Time,,🇮🇳,3.76,4.0,,,,,,148,1/16/25
2025,Accepted,Boston University,MS in Mathematical Finance and Financial Technology,Full-Time,"$7,500",🇨🇳,3.43,,170,162,3.5,105,,39,1/16/25
2025,Accepted,North Carolina State University,Master in Financial Mathematics,Full-Time,,🇨🇳,3.43,,170,162,3.5,105,,15,1/16/25
2025,Pending,WU Vienna,Master in Quantitative Finance,Full-Time,,,,3.77,,,,,,,1/16/25
2025,Rejected,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,,🇺🇸,3.4,,156,,,,,41,1/16/25
2025,Accepted,Boston University,MS in Mathematical Finance and Financial Technology,Full-Time,"$5,000",🇺🇸,3.4,,156,,,,,31,1/16/25
2025,Rejected,Princeton University,Master in Finance,Full-Time,,🇨🇳,,3.49,167,,,,,74,1/15/25
2025,Accepted,Columbia University,Masters in Financial Engineering,Full-Time,,🇨🇳,,3.49,167,,,,,90,1/15/25
2025,Rejected,Columbia University,Masters in Financial Engineering,Full-Time,,🇮🇳,3.24,,168,152,3.5,,,149,1/15/25
2025,Rejected,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,,🇮🇳,3.28,,170,154,4.5,,,45,1/15/25
2025,Accepted,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,"$3,000",🇻🇳,3.89,,170,166,5,,,45,1/15/25
2025,Pending,Carnegie Mellon University,MS in Computational Finance,Full-Time,,🇮🇳,3.68,,170,153,4,,,,1/15/25
2025,Accepted,Georgia Institute of Technology,MS in Quantitative and Computational Finance,Full-Time,,🇺🇸,3.06,,170,159,5,,,16,1/15/25
2025,Waitlisted,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,,🇧🇷,3.80,3.8,170,168,4.5,,,,1/15/25
2025,Accepted,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,"$6,000",🇺🇸,3.89,,168,159,3.5,,,49,1/15/25
2025,Rejected,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,,🇨🇳,3.70,,167,142,3.5,101,,46,1/14/25
2025,Rejected,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,,🇨🇳,3.74,,167,159,3.5,,,41,1/14/25
2025,Accepted,Stevens Institute of Technology,MS in Financial Engineering,Full-Time,"$13,500",🇮🇳,3.76,4.0,,,,,,6,1/13/25
2025,Pending,Baruch College,Master in Financial Engineering,Full-Time,,🇮🇳,3.1,,170,159,3,,,,1/13/25
2025,Accepted,Georgia Institute of Technology,MS in Quantitative and Computational Finance,Full-Time,,,,,170,161,3.5,,,33,1/12/25
2025,Rejected,Columbia University,Masters in Financial Engineering,Full-Time,,🇮🇳,3.79,,170,165,4.5,,,150,1/12/25
2025,Accepted,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,,🇬🇷,3.8,,,,,,,33,1/11/25
2025,Pending,Princeton University,Master in Finance,Full-Time,,🇰🇷,3.4,,170,159,3.5,,,,1/11/25
2025,Rejected,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇮🇳,4.0,,168,166,5.0,,,21,1/11/25
2025,Pending,Yale University,Master in Asset Management,Full-Time,,🇺🇸,3.89,,168,159,3.5,,,,1/10/25
2025,Pending,"University of California, Los Angeles",Master of Financial Engineering,Full-Time,,🇮🇳,,,167,163,4.5,,,,1/10/25
2025,Pending,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇮🇳,,,167,163,4.5,,,,1/10/25
2025,Pending,Carnegie Mellon University,MS in Computational Finance,Full-Time,,🇮🇳,,,167,163,4.5,,,,1/10/25
2025,Enrolled,North Carolina State University,Master in Financial Mathematics,Full-Time,,🇮🇳,3.646,3.646,168,158,3.5,,,20,1/10/25
2025,Rejected,Georgia Institute of Technology,MS in Quantitative and Computational Finance,Full-Time,,🇮🇳,3.8,3.8,164,152,3,,,36,1/9/25
2025,Rejected,Georgia Institute of Technology,MS in Quantitative and Computational Finance,Full-Time,,🇻🇳,3.89,,170,166,5,,,34,1/8/25
2025,Accepted,Washington University in St. Louis,MS in Quantitative Finance,Full-Time,,🇨🇳,3.70,,167,142,3.5,101,,68,1/8/25
2025,Rejected,Princeton University,Master in Finance,Full-Time,,🇬🇧,3.9,,,,,,,,1/8/25
2025,Accepted,Georgia Institute of Technology,MS in Quantitative and Computational Finance,Full-Time,,🇮🇳,4.0,,,,,,,86,1/8/25
2025,Enrolled,Georgia Institute of Technology,MS in Quantitative and Computational Finance,Full-Time,,🇮🇳,3.4,3.4,170,153,4,,,34,1/7/25
2025,Pending,Princeton University,Master in Finance,Full-Time,,🇭🇰,4.0,,,,,,,,1/7/25
2025,Pending,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,,3.45,3.45,,,,,,,1/7/25
2025,Rejected,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,,🇮🇳,,3.4,,,,,,33,1/6/25
2025,Accepted,Rutgers University,Master of Quantitative Finance,Full-Time,,🇨🇳,3.70,,167,142,3.5,101,,3,1/5/25
2025,Accepted,Boston University,MS in Mathematical Finance and Financial Technology,Full-Time,"$5,000",🇮🇳,3.75,,,,,,,49,1/5/25
2025,Accepted,University of Illinois Urbana Champaign,Master of Financial Engineering,Full-Time,,🇮🇳,3.75,,,,,,,17,1/5/25
2025,Pending,Princeton University,Master in Finance,Full-Time,,🇮🇳,,,167,163,4.5,,,,1/4/25
2025,Accepted,"City St George’s, University of London, Bayes Business School",MSc Financial Mathematics,Full-Time,"$6,280",🇮🇳,3.7,3.7,,,,,,26,1/4/25
2025,Enrolled,Rutgers University,Master of Quantitative Finance,Full-Time,,🇺🇸,3.719,,,,,,,7,1/3/25
2025,Accepted,Boston University,MS in Mathematical Finance and Financial Technology,Full-Time,"$45,000",🇺🇸,3.88,,165,160,5,,,47,1/3/25
2025,Accepted,Boston University,MS in Mathematical Finance and Financial Technology,Full-Time,"$10,000",🇨🇭,4.0,,167,159,4.0,,,61,1/2/25
2025,Pending,Baruch College,Master in Financial Engineering,Full-Time,,🇺🇸,3.89,,168,159,3.5,,,,1/1/25
2025,Pending,Cornell University,Master in Financial Engineering,Full-Time,,🇬🇧,,,,,,,,,12/30/24
2025,Rejected,Princeton University,Master in Finance,Full-Time,,🇮🇳,3.27,,170,158,,,,16,12/30/24
2025,Accepted,Baruch College,Master in Financial Engineering,Full-Time,,🇮🇳,3.24,,,,,,,43,12/29/24
2025,Accepted,Johns Hopkins University,Mathematics MSE,Full-Time,,🇺🇸,3.719,,,,,,,88,12/27/24
2025,Pending,Johns Hopkins University,Mathematics MSE,Full-Time,,🇮🇳,3,,,,,,,,12/26/24
2025,Pending,Fordham University,MS in Quantitative Finance,Full-Time,,🇮🇳,3,,,,,,,,12/26/24
2025,Pending,Boston University,MS in Mathematical Finance and Financial Technology,Full-Time,,🇮🇳,3,,,,,,,,12/26/24
2025,Pending,North Carolina State University,Master in Financial Mathematics,Full-Time,,🇮🇳,3,,,,,,,,12/26/24
2025,Accepted,University of Illinois Urbana Champaign,Master of Financial Engineering,Full-Time,,🇮🇳,3.6,,,,,,,38,12/22/24
2025,Enrolled,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,"$8,000",🇮🇳,3.6,,,,,,,56,12/22/24
2025,Rejected,Georgia Institute of Technology,MS in Quantitative and Computational Finance,Full-Time,,🇮🇳,3.8,,167,151,4,,,65,12/21/24
2025,Rejected,Baruch College,Master in Financial Engineering,Full-Time,,🇮🇳,3.8,,167,151,4,,,38,12/21/24
2025,Enrolled,"University of California, Berkeley",Master of Financial Engineering,Full-Time,,🇮🇳,3.62,3.7,170,167,4,117,,80,12/20/24
2025,Rejected,Baruch College,Master in Financial Engineering,Full-Time,,🇺🇸,3.4,,156,,,,,35,12/20/24
2025,Rejected,Baruch College,Master in Financial Engineering,Full-Time,,🇮🇳,3.31,3.371,170,153,3.5,,,36,12/20/24
2025,Enrolled,Georgia Institute of Technology,MS in Quantitative and Computational Finance,Full-Time,,🇸🇬,3.32,4.0,169,161,4.5,,,112,12/20/24
2025,Accepted,Lehigh University,MS in Financial Engineering,Full-Time,"$17,490",🇮🇳,4,,,,,,,35,12/20/24
2025,Accepted,University of Illinois Urbana Champaign,Master of Financial Engineering,Full-Time,,🇮🇳,4,,,,,,,37,12/20/24
2025,Accepted,Fordham University,MS in Quantitative Finance,Full-Time,"$20,000",🇵🇰,3.20,,159,153,4.0,,,20,12/19/24
2025,Pending,University of Chicago,Master in Finance,Full-Time,,🇮🇹,3.64,4,,,,,,,12/19/24
2025,Rejected,Baruch College,Master in Financial Engineering,Full-Time,,🇮🇹,3.64,4,,,,,,52,12/19/24
2025,Accepted,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,"$8,000",🇨🇭,4.0,,167,159,4.0,,,26,12/18/24
2025,Accepted,Georgia Institute of Technology,MS in Quantitative and Computational Finance,Full-Time,,🇵🇷,3.98,,169,157,5.0,,,17,12/18/24
2025,Rejected,Baruch College,Master in Financial Engineering,Full-Time,,🇵🇷,3.98,,169,157,5.0,,,54,12/18/24
2025,Accepted,University of Illinois Urbana Champaign,Master of Financial Engineering,Full-Time,,🇸🇬,3.33,,170,156,3.5,,,16,12/18/24
2025,Accepted,"University of California, San Diego",Master of Quantitative Finance,Full-Time,"$30,000",🇨🇭,4.0,,167,159,4.0,,,30,12/17/24
2025,Enrolled,University of Illinois Urbana Champaign,Master of Financial Engineering,Full-Time,,🇵🇰,3.20,,159,153,4.0,,,17,12/17/24
2025,Accepted,Georgia Institute of Technology,MS in Quantitative and Computational Finance,Full-Time,,🇮🇳,3.79,,170,165,4.5,,,33,12/17/24
2025,Accepted,University of Illinois Urbana Champaign,Master of Financial Engineering,Full-Time,,🇨🇭,4.0,,167,159,4.0,,,27,12/16/24
2025,Rejected,Baruch College,Master in Financial Engineering,Full-Time,,🇩🇪,3.4,,,,,,,73,12/16/24
2025,Accepted,Rutgers University,Master of Quantitative Finance,Full-Time,,🇵🇰,3.20,,159,153,4.0,,,7,12/16/24
2025,Pending,Temple University,MS in Quantitative Finance and Risk Management,Part-Time,,🇺🇸,,,,,,,,,12/15/24
2025,Rejected,Princeton University,Master in Finance,Full-Time,,🇫🇷,3.6,3.9,163,157,4,,,74,12/14/24
2025,Rejected,Cornell University,Master in Financial Engineering,Full-Time,,🇫🇷,3.6,3.9,163,157,4,,,91,12/14/24
2025,Rejected,Carnegie Mellon University,MS in Computational Finance,Full-Time,,🇫🇷,3.6,3.9,163,157,4,,,97,12/14/24
2025,Rejected,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,,🇺🇸,3.5,,,,,,,41,12/14/24
2025,Enrolled,"University of California, Berkeley",Master of Financial Engineering,Full-Time,,🇮🇳,3.8,,170,159,3.5,107,,73,12/11/24
2025,Pending,University of Toronto,Master of Mathematical Finance,Full-Time,,🇨🇳,4.0,,170,168,3.5,,,,12/7/24
2025,Rejected,University of Toronto,Master of Mathematical Finance,Full-Time,,🇵🇰,3.20,,159,153,4.0,,,96,12/7/24
2025,Accepted,Rutgers University,Master of Quantitative Finance,Full-Time,"$10,000",🇮🇳,4,,,,,,,6,12/6/24
2025,Accepted,"University of California, Berkeley",Master of Financial Engineering,Full-Time,,🇧🇷,,,,,,,,106,12/6/24
